Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE.1,TOLERANCE,VALUE.1,VOLTAGE,Column1
JP1,,JP1E,JP1,JUMPER,,68001-200HLF,,,,,,,
JP2,,JP1E,JP1,JUMPER,,68001-200HLF,,,,,,,
L1,,L-US_FERRITE0805,L0805,,,MI0805K400R-10,,,,,,,
XL1,,ECS-300-20-46X,HC-46X,,,ECS-300-20-46X,,,,,,,
C1,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C7,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C8,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C10,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C11,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C12,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C13,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C14,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C18,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C21,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B104KO8NNNC,,,603,0.1,,16V,
C20,100pF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10C101KB8NNNC,,,603,,,50V,
C22,100pF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10C101KB8NNNC,,,603,,,50V,
R2,10k,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603JG10K0,,,,,,,
C2,10nF,C-USC0603,C0603,"CAPACITOR, American symbol",,885012206040,,,,,,,
C4,10uF,C-USC1206,C1206,"CAPACITOR, American symbol",,CL31A106MOHNNNE,,,,,,,
C9,10uF,C-USC1206,C1206,"CAPACITOR, American symbol",,CL31A106MOHNNNE,,,1206,,,16V,
C19,10uF,C-USC1206,C1206,"CAPACITOR, American symbol",,GRT31CR61H106ME01L,,,1206,0.1,,16V,
R1,1k,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603JJ1K00,,,,,,,
R13,1k,R-US_R0805,R0805,"RESISTOR, American symbol",,RNCP0805FTD1K00,,,,,,,
R4,1M,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603JT1M00,,,,,,,
C16,1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10B105MO8NNWC,,,,,,,
R3,330,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603JT330R,,,,,,,
R5,330,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603JT330R,,,,,,,
R6,330,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603JT330R,,,,,,,
R8,330,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603JT330R,,,,,,,
C5,4.7uF,C-USC0805,C0805,"CAPACITOR, American symbol",,CL21A475KOFNNNG,,,805,0.1,,10V,
C3,47pF,C-USC0603,C0603,"CAPACITOR, American symbol",,885012006021,,,,,,,
C6,47pF,C-USC0603,C0603,"CAPACITOR, American symbol",,885012006021,,,,,,,
L2,47uH,L-USL1812,L1812,"INDUCTOR, American symbol",,B82432A1473K000,,,,,,,
R7,500,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603JT510R,,,,,,,
R10,560,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603FT562R,,,,,,,
R11,560,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603FT562R,,,,,,,
R9,640,R-US_R0603,R0603,"RESISTOR, American symbol",,RMCF0603FT649R,,,,,,,
R12,6k49,R-US_R0805,R0805,"RESISTOR, American symbol",,RNCP0805FTD6K49,,,,,,,
J2,ATSAMICE_CONN05-01-L-DV-K,ATSAMICE_CONN05-01-L-DV-K,FTSH-105-01-L-DV-K,"CONN HEADER 10POS DUAL .05 SMD""",,FTSH-105-01-L-DV-K-A,,,,,,,
R14,DNP,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,,,,,
U1,FT232RL,FT232RL,SSOP28,Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf,,FT232RL,1146032,91K9918,,,,,
LED2,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED,,LG R971-KN-1,,,,,,,
LED5,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED,,LG R971-KN-1,,,,,,,
LED6,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED,,LG R971-KN-1,,,,,,,
J3,M09AMP,M09AMP,5788796-3,SUB-D,,D09P33E4GX00LF,,,,,,,
D1,MBRS130LT3,MBRS130LT3,SMB,Schottky Power Rectifier,,MBRS1100T3G,,,,,,,
J1,MINI-USB-SHIELD-UX60-MB-5ST,MINI-USB-SHIELD-UX60-MB-5ST,UX60-MB-5ST,MINI USB Connector,,690-005-299-043,unknown,unknown,,,,,
ZD1,MMBZ27VCLT1G,MMBZ27VCLT1G,SOT23,TVS DIODE 22V 38V SOT23-3,,MMBZ27VCLT1G,,,,,,,
H1,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",MOUNTING HOLE with drill center marker,,,,,,,,,
H2,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",MOUNTING HOLE with drill center marker,,,,,,,,,
H3,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",MOUNTING HOLE with drill center marker,,,,,,,,,
H4,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0",MOUNTING HOLE with drill center marker,,,,,,,,,
LED3,ORANGE,LEDCHIP-LED0805,CHIP-LED0805,LED,,LO R976-PS-1,,,,,,,
SW1,PTS645,PTS645,PTS645_SMT,,,PTS645SM43SMTR92 LFS,,,,,,,
SW2,PTS645,PTS645,PTS645_SMT,,,PTS645SM43SMTR92 LFS,,,,,,,
LED4,RED,LEDCHIP-LED0805,CHIP-LED0805,LED,,LH R974-LP-1,,,,,,,
U2,SAMC21G18-AUT,SAMC21G18-AUT,TQFP48,edit this description,,ATSAMC21G18A-AUT,,,,,,,
C15,TBD,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10C160JB8NFNC,,,,,,,
C17,TBD,C-USC0603,C0603,"CAPACITOR, American symbol",,CL10C160JB8NFNC,,,,,,,
U4,TH8056KDCA8,TH8056KDCA8,SO8,,,TH8056KDC-AAA-008-RE,,,,,,,
U3,TJA1051T/3,TJA1051T/3,SO8,IC CAN TRANSEIVER HS 8SOIC,,"TJA1051TK/3,118",,,,,,,
LED1,YELLOW,LEDCHIP-LED0805,CHIP-LED0805,LED,,LY R976-PS-36,,,,,,,
